,Unnamed: 0,Unnamed: 0.1,ft_uname,ft_rname,ft_commit_date,author_association,merged_status,pull_title,pull_msg,pullauthordate,pullid,ft_total_changes,ft_addns,ft_delns,commitauthordate,commitid,pullcommitsha,pullcommitmsg,repodesc,repolang
13,2524,2524,AutomatedTester,input-tests,2010-12-08T13:31:04Z,CONTRIBUTOR,True,Wait for commands,"centralised waitForX commands into page.py to remove duplication of code.
",2010-12-08T14:01:53Z,https://api.github.com/repos/mozilla/input-tests/pulls/5,121.0,61.0,60.0,2010-12-08T13:31:04Z,f0c659f5d039584123d87a6077fe05dd5da88fa1,f0c659f5d039584123d87a6077fe05dd5da88fa1,Removed duplicated code into the base class,Tests for Mozilla Input website.,
14,2525,2525,AutomatedTester,input-tests,2010-12-08T14:00:08Z,CONTRIBUTOR,True,Wait for commands,"centralised waitForX commands into page.py to remove duplication of code.
",2010-12-08T14:01:53Z,https://api.github.com/repos/mozilla/input-tests/pulls/5,17.0,3.0,14.0,2010-12-08T14:00:08Z,4de2e49633827421d14c9d35dd3eebf4d182fec9,4de2e49633827421d14c9d35dd3eebf4d182fec9,corrected wait_for_element_present,Tests for Mozilla Input website.,
45,7416,7416,Callek,build-mapper,2014-04-28T18:53:16Z,NONE,True,Update url to current RoR,,2014-04-28T18:53:31Z,https://api.github.com/repos/mozilla/build-mapper/pulls/2,2.0,1.0,1.0,2014-04-28T18:53:16Z,666cb18b25a22c0192420755148684d8e005572c,666cb18b25a22c0192420755148684d8e005572c,Update url to current RoR,simple web app to provide git revisions given an hg revision and a hg-git mapfile,
46,4882,4882,Callek,build-relengapi-slaveloan,2014-05-28T19:56:28Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,264.0,264.0,0.0,2014-05-28T19:56:28Z,71b6e4498457e5703d8c6bcf4804c15baf2f6ffa,71b6e4498457e5703d8c6bcf4804c15baf2f6ffa,Add slaveloan tool to git branch,,
47,4883,4883,Callek,build-relengapi-slaveloan,2014-05-28T20:24:12Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,85.0,82.0,3.0,2014-05-28T20:24:12Z,e705a9567e1224321d4cf08327300ed7e3e661d3,e705a9567e1224321d4cf08327300ed7e3e661d3,pep8 and change travis a bit,,
48,4884,4884,Callek,build-relengapi-slaveloan,2014-05-28T20:32:27Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,4.0,2.0,2.0,2014-05-28T20:32:27Z,3379c9d45e691defc4f27ade3d95335e784af891,3379c9d45e691defc4f27ade3d95335e784af891,moar validate stuff,,
49,4885,4885,Callek,build-relengapi-slaveloan,2014-05-30T21:06:43Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,16.0,16.0,0.0,2014-05-30T21:06:43Z,25b052ae4951bfffe3f086a6f21dedee27f7aadf,25b052ae4951bfffe3f086a6f21dedee27f7aadf,Add all loan apimethod,,
50,4886,4886,Callek,build-relengapi-slaveloan,2014-05-30T21:12:18Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,1.0,1.0,0.0,2014-05-30T21:12:18Z,aef3cfbeeed0e769a3289dc72501817c109f7bf4,aef3cfbeeed0e769a3289dc72501817c109f7bf4,Add apimethod import,,
51,4887,4887,Callek,build-relengapi-slaveloan,2014-05-30T21:13:51Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,1.0,1.0,0.0,2014-05-30T21:13:51Z,ced55df529e13e730a1b225c715029fcb2a95ad2,ced55df529e13e730a1b225c715029fcb2a95ad2,Use a session here,,
52,4888,4888,Callek,build-relengapi-slaveloan,2014-05-31T17:25:30Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,4.0,3.0,1.0,2014-05-31T17:25:30Z,28f0b2e03c1f9a2898d805bf9aa7f360902fb362,28f0b2e03c1f9a2898d805bf9aa7f360902fb362,"Update pylint, pep8, return json for REST call",,
53,4889,4889,Callek,build-relengapi-slaveloan,2014-06-02T22:01:53Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,61.0,28.0,33.0,2014-06-02T22:01:53Z,4892134495064323925e60fa1f90da59f37457a0,4892134495064323925e60fa1f90da59f37457a0,Add REST-style loan table loading,,
54,4890,4890,Callek,build-relengapi-slaveloan,2014-06-02T22:08:03Z,CONTRIBUTOR,True,Slaveloan v0,"@djmitche This is mostly at you since you gave much of this a once over (fixes issue  #1)

The basis of this review should focus on 3 main areas:
- Blocks deploy to releng team only
- Blocks deploy to external users
- Design/style nits

Which will be (likely) be tackled in that order.

The goal of mine is to deploy for releng use by end of quarter, and iterate fast on filling in missing pieces.

What I expect to work by EOQ (checked items are ""works with this PR"")
- [x] Create a loan bug if one not specified
- [x] Create or reopen a tracking bug and link to loan bug
- [x] Select an inhouse machine if we don't preselect it. (using a dumb algorithm)
- [ ] Give us steps we manually need to select ""done"" on for manual parts, using links to wiki
- [x] crappy UI
- [ ] Releng able to manually enter ""current loans"" through UI.  (might actually be done, haven't tested lately)

Immediate next step for work after the above is all done and deployed is:
- [ ] Close out loan (currently just close bug, but might evolve to kill off AWS instance, file reimage bug, etc.)
",2015-03-13T19:49:19Z,https://api.github.com/repos/mozilla/build-relengapi-slaveloan/pulls/8,5.0,4.0,1.0,2014-06-02T22:08:03Z,c69f8170bd7dd543288f2a3ec3dc4a12b6c85728,c69f8170bd7dd543288f2a3ec3dc4a12b6c85728,"do jinja expansion in template properly, pass var along",,
162,6257,6257,Darkspirit,crash-stop-addon,2019-05-08T13:58:18Z,CONTRIBUTOR,True,Change crash-stats.mozilla.com to .org,"With [bug 618185](https://bugzilla.mozilla.org/show_bug.cgi?id=618185#c26) decision has been made to make crash-stats.mozilla.org canonical domain.
This PR shall be seen as part of [bug 1548725](https://bugzilla.mozilla.org/show_bug.cgi?id=1548725).
Made with:
```
git checkout -b crash-stats_org
find . -type f -print0 | xargs -0 sed -i 's,crash-stats.mozilla.com,crash-stats.mozilla.org,g'
git add * && git commit -m ""Change crash-stats.mozilla.com to .org""

```",2019-05-08T14:07:59Z,https://api.github.com/repos/mozilla/crash-stop-addon/pulls/12,618.0,309.0,309.0,2019-05-08T13:58:18Z,52eda828dfdf35172241cbbb8fd3613b3be11d64,52eda828dfdf35172241cbbb8fd3613b3be11d64,Change crash-stats.mozilla.com to .org,Bugzilla addon to display crash data,Python
163,1997,1997,Dexterp37,firefox-hardware-report,2016-04-02T15:48:37Z,COLLABORATOR,True,Initial commit for the spark job used to generate the aggregated hw j…,"…son.

@almossawi @megavaughn please do not merge this PR just yet. Let's use this to start a conversation/review.
",2016-04-02T15:50:06Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/1,586.0,586.0,0.0,2016-04-02T15:48:37Z,a7d6460c81c747878431c4856f0c28bac9d1c752,a7d6460c81c747878431c4856f0c28bac9d1c752,"Generate the hardware survey report.

This notebook generates some statistics about the hardware
used by a representative sample of the Firefox Release population
and reports them in a JSON file.","The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
164,1996,1996,Dexterp37,firefox-hardware-report,2016-08-16T12:04:10Z,COLLABORATOR,True,Store game HW reports in the public bucket,"This allows the games.mozilla.org website to
access the reports from the URL:
https://analysis-output.telemetry.mozilla.org/game-hardware-survey/data/hwsurvey-weekly.json

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/firefox-hardware-survey/3)

<!-- Reviewable:end -->
",2016-08-17T07:36:31Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/3,105.0,61.0,44.0,2016-08-16T12:04:10Z,5725450a681b2943a2ce0223161976fdfc1295d9,5725450a681b2943a2ce0223161976fdfc1295d9,"Store game HW reports in the public bucket

This allows the games.mozilla.org website to
access the reports from the URL:
https://analysis-output.telemetry.mozilla.org/game-hardware-survey/data/hwsurvey-weekly.json","The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
165,1995,1995,Dexterp37,firefox-hardware-report,2016-09-09T12:57:10Z,COLLABORATOR,True,Add new fields to the game HW report,"This patch adds the GPU model, CANVAS_WEBGL_SUCCESS,
browser architecture, CPU speed and the flash, silverlight
and unity plugin availability.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/firefox-hardware-survey/4)

<!-- Reviewable:end -->
",2016-09-09T13:01:08Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/4,537.0,519.0,18.0,2016-09-09T12:57:10Z,f5f0384a56368ca97d82086069c10eec055f1aa8,f5f0384a56368ca97d82086069c10eec055f1aa8,"Add new fields to the game HW report

This patch adds the GPU model, browser architecture,
os architecture, CPU speed and the flash plugin availability.
This also adds the documentation for the report format and
test coverage.","The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
166,1994,1994,Dexterp37,firefox-hardware-report,2016-09-20T12:28:47Z,COLLABORATOR,True,Fix a typo in the reporting job,"There was a wrongly labelled variable in the report notebook.
This commit just changes the notebook to use the correct name.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/firefox-hardware-survey/5)

<!-- Reviewable:end -->
",2016-09-20T12:30:17Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/5,2.0,1.0,1.0,2016-09-20T12:28:47Z,7be2008b4ca75880627d61ef2ffd11b794295ac5,7be2008b4ca75880627d61ef2ffd11b794295ac5,Fix a typo in the reporting job,"The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
167,1991,1991,Dexterp37,firefox-hardware-report,2017-01-20T16:46:05Z,COLLABORATOR,True,Whitelist pings with missing screen resolution,"

<!-- Reviewable:start -->
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/firefox-hardware-survey/14)
<!-- Reviewable:end -->
",2017-01-20T17:54:28Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/14,41.0,31.0,10.0,2017-01-20T16:46:05Z,8dd9d8109ff4a00904bb740282f9312e046c0367,8dd9d8109ff4a00904bb740282f9312e046c0367,"Whitelist pings with missing screen resolution

Also make sure that pings are not discarded when no
plugin is reported by the clients (see bug 1333806 for
context).","The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
168,1989,1989,Dexterp37,firefox-hardware-report,2017-02-01T14:42:08Z,COLLABORATOR,True,"Bug 1335687 - Rename ""os_arch_"" to ""osarch_"" and update the docs","I've also attempted to reference the github commit hash in the changelog.

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/firefox-hardware-survey/18)
<!-- Reviewable:end -->
",2017-02-01T18:00:36Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/18,31.0,20.0,11.0,2017-02-01T14:42:08Z,6ea4922162eddd85d890f18a2538d5edc18b8039,6ea4922162eddd85d890f18a2538d5edc18b8039,Bug 1335687 - Rename data points to use camelCase,"The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
169,1990,1990,Dexterp37,firefox-hardware-report,2017-02-06T18:31:08Z,COLLABORATOR,True,"Bug 1335687 - Rename ""os_arch_"" to ""osarch_"" and update the docs","I've also attempted to reference the github commit hash in the changelog.

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/mozilla/firefox-hardware-survey/18)
<!-- Reviewable:end -->
",2017-02-01T18:00:36Z,https://api.github.com/repos/mozilla/firefox-hardware-report/pulls/18,39.0,22.0,17.0,2017-02-06T18:31:08Z,3097739a1d989d3acf3c503860998d8341a0c039,3097739a1d989d3acf3c503860998d8341a0c039,Bug 1335687 - Add a Changelog section to the format docs,"The Firefox Hardware Report was the precursor to the Firefox Public Data Report, to which it now redirects",JavaScript
170,5891,5891,DmytroLitvinov,django-csp,2019-10-28T15:14:11Z,CONTRIBUTOR,True,Add Django 2.2 and Python 3.7,"Hi @g-k ,

Could you please do a review?",2019-10-28T18:32:06Z,https://api.github.com/repos/mozilla/django-csp/pulls/128,27.0,25.0,2.0,2019-10-28T15:14:11Z,ebb9d730355ff48d8baceb553d0deb3d3cc3e80d,ebb9d730355ff48d8baceb553d0deb3d3cc3e80d,Add Django 2.2 and Python 3.7 for testing,Content Security Policy for Django.,Python
171,1572,1572,Doerge,infosec.mozilla.org,2018-03-02T23:02:38Z,CONTRIBUTOR,True,Fix web security cheatsheet anchor.,,2018-03-02T23:03:15Z,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/49,2.0,1.0,1.0,2018-03-02T23:02:38Z,61df700077715ebc8cc3ca1e921072acb5892954,61df700077715ebc8cc3ca1e921072acb5892954,Fix web security cheatsheet anchor.,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript
172,5904,5904,EnTeQuAk,django-csp,2017-01-17T12:17:19Z,CONTRIBUTOR,True,Update and fix documentation with what we actually released.,,2017-01-17T12:17:45Z,https://api.github.com/repos/mozilla/django-csp/pulls/84,20.0,16.0,4.0,2017-01-17T12:17:19Z,7c0899e6c27304ea7ddeae194cb73d842cc27090,7c0899e6c27304ea7ddeae194cb73d842cc27090,Update and fix documentation with what we actually released.,Content Security Policy for Django.,Python
173,5898,5898,EnTeQuAk,django-csp,2017-08-22T05:08:55Z,CONTRIBUTOR,True,Drop old django 1.6 and 1.7,This also adds changelog entries for 3.3 and upcoming 3.4 releases,2017-08-22T05:09:50Z,https://api.github.com/repos/mozilla/django-csp/pulls/90,46.0,1.0,45.0,2017-08-22T05:08:55Z,7a333da1930ab206699b29798ccca520885315bc,7a333da1930ab206699b29798ccca520885315bc,Drop Support for Django 1.6 and 1.7,Content Security Policy for Django.,Python
